                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.61446,                0.66797,                 1.0654,                0.59613,                0.52713,                0.55042,                0.34605,                 1.3064,                 1.4216,                  1.555,               0.006535,               0.006535,               0.006535
                     37,                0.60603,                0.66079,                 1.0597,                0.66466,                0.51911,                0.56431,                0.34859,                 1.3186,                 1.4403,                 1.5747,               0.006436,               0.006436,               0.006436
                     38,                0.60941,                0.66547,                 1.0613,                0.63417,                0.52773,                0.57146,                0.35504,                 1.3012,                 1.3984,                 1.5549,               0.006337,               0.006337,               0.006337
                     39,                0.59905,                0.65237,                  1.055,                0.61368,                0.51618,                0.55543,                0.35147,                 1.3134,                 1.4241,                 1.5881,               0.006238,               0.006238,               0.006238
                     40,                 0.5966,                0.64452,                  1.054,                0.66737,                0.51383,                0.58241,                 0.3691,                 1.2841,                 1.3715,                 1.5473,               0.006139,               0.006139,               0.006139
                     41,                0.59054,                0.63769,                 1.0501,                0.62548,                0.53761,                0.58674,                0.37759,                  1.287,                 1.3799,                 1.5467,                0.00604,                0.00604,                0.00604
                     42,                 0.5906,                 0.6351,                 1.0499,                0.65567,                0.52773,                0.58455,                0.36955,                 1.2879,                 1.3615,                  1.545,               0.005941,               0.005941,               0.005941
                     43,                0.57946,                0.62177,                 1.0438,                0.62615,                0.53629,                0.57715,                0.36709,                 1.2829,                  1.366,                 1.5526,               0.005842,               0.005842,               0.005842
                     44,                0.57666,                0.61797,                  1.041,                0.61018,                0.53828,                0.57181,                0.36362,                  1.296,                 1.3759,                 1.5342,               0.005743,               0.005743,               0.005743
                     45,                0.56977,                 0.6091,                 1.0383,                  0.646,                0.52435,                 0.5798,                0.36636,                 1.3002,                 1.4034,                 1.5684,               0.005644,               0.005644,               0.005644
                     46,                0.56435,                 0.6067,                 1.0376,                0.63649,                0.54768,                 0.5873,                0.37008,                  1.277,                 1.3506,                 1.5261,               0.005545,               0.005545,               0.005545
                     47,                0.56541,                0.60741,                 1.0383,                0.63777,                 0.5389,                 0.5908,                0.37688,                 1.2787,                 1.3526,                 1.5381,               0.005446,               0.005446,               0.005446
                     48,                0.55486,                0.59357,                 1.0288,                 0.6205,                0.54797,                0.58637,                0.37898,                 1.2495,                 1.3441,                 1.5198,               0.005347,               0.005347,               0.005347
                     49,                0.55819,                0.59433,                 1.0339,                0.64639,                0.53604,                0.58721,                0.36764,                 1.2927,                 1.3913,                 1.5549,               0.005248,               0.005248,               0.005248
                     50,                0.54901,                0.58695,                 1.0301,                 0.6384,                 0.5494,                0.59712,                0.38082,                 1.2689,                 1.3206,                 1.5315,               0.005149,               0.005149,               0.005149
                     51,                0.54496,                0.58721,                 1.0286,                0.67165,                0.54739,                0.60786,                0.39247,                 1.2502,                 1.3188,                 1.5098,                0.00505,                0.00505,                0.00505
                     52,                0.54094,                0.57606,                 1.0262,                0.64547,                0.55838,                0.60119,                0.38734,                 1.2476,                 1.3193,                 1.5065,               0.004951,               0.004951,               0.004951
                     53,                0.53874,                 0.5733,                 1.0229,                0.65098,                0.57444,                0.61756,                0.40163,                 1.2448,                 1.2995,                 1.5101,               0.004852,               0.004852,               0.004852
                     54,                0.53815,                 0.5689,                 1.0228,                0.65277,                0.55825,                0.61146,                0.39323,                 1.2482,                 1.2805,                  1.507,               0.004753,               0.004753,               0.004753
                     55,                0.54341,                0.57651,                 1.0286,                0.62993,                  0.584,                0.62015,                0.40352,                 1.2362,                 1.2841,                 1.4929,               0.004654,               0.004654,               0.004654
                     56,                0.53305,                0.56621,                 1.0211,                 0.6523,                0.56438,                0.61373,                0.40023,                  1.232,                 1.2686,                 1.4879,               0.004555,               0.004555,               0.004555
                     57,                 0.5265,                0.55631,                  1.019,                0.61999,                0.57989,                0.61346,                    0.4,                 1.2299,                 1.2848,                 1.4894,               0.004456,               0.004456,               0.004456
                     58,                0.51738,                0.54884,                 1.0164,                0.65578,                0.57544,                0.62253,                0.40884,                 1.2232,                 1.2676,                 1.4819,               0.004357,               0.004357,               0.004357
                     59,                 0.5171,                0.54511,                 1.0111,                0.68088,                 0.5634,                0.62799,                0.41312,                  1.223,                 1.2605,                 1.4838,               0.004258,               0.004258,               0.004258
                     60,                0.51473,                0.54267,                 1.0141,                0.63024,                0.58235,                0.62304,                 0.4053,                 1.2293,                 1.2615,                 1.4873,               0.004159,               0.004159,               0.004159
                     61,                0.51477,                0.53732,                 1.0117,                0.64649,                0.59872,                0.62961,                0.41265,                 1.2192,                 1.2414,                 1.4737,                0.00406,                0.00406,                0.00406
                     62,                0.50655,                 0.5336,                 1.0046,                0.67307,                0.57916,                0.63709,                0.42088,                  1.205,                 1.2346,                 1.4708,               0.003961,               0.003961,               0.003961
                     63,                0.50073,                0.52539,                 1.0029,                0.64858,                0.59381,                0.63419,                0.41949,                 1.2206,                 1.2338,                 1.4832,               0.003862,               0.003862,               0.003862
                     64,                0.50097,                0.52729,                 1.0023,                0.68588,                0.57014,                0.64224,                 0.4221,                 1.2096,                 1.2184,                 1.4637,               0.003763,               0.003763,               0.003763
                     65,                0.49998,                0.52078,                  1.002,                0.67915,                0.56761,                0.63275,                0.41543,                 1.2264,                 1.2421,                 1.4826,               0.003664,               0.003664,               0.003664
                     66,                0.49345,                0.51847,                 1.0053,                0.68171,                0.57943,                0.64741,                0.42441,                 1.2148,                 1.2201,                 1.4719,               0.003565,               0.003565,               0.003565
                     67,                0.49455,                0.52073,                 1.0008,                 0.6531,                0.59308,                0.64487,                0.42691,                 1.2104,                  1.216,                 1.4767,               0.003466,               0.003466,               0.003466
                     68,                 0.4926,                0.50529,                0.99771,                0.69709,                0.58043,                0.65247,                0.43207,                 1.2031,                  1.195,                 1.4614,               0.003367,               0.003367,               0.003367
                     69,                0.48598,                0.50679,                0.99849,                0.68773,                0.58066,                 0.6462,                0.42631,                 1.2059,                 1.2088,                 1.4708,               0.003268,               0.003268,               0.003268
                     70,                0.47921,                0.50218,                0.99434,                 0.6889,                0.56697,                  0.645,                0.42994,                 1.2017,                 1.2074,                 1.4651,               0.003169,               0.003169,               0.003169
                     71,                0.47959,                0.50285,                0.99752,                0.66888,                 0.5876,                0.64402,                0.42903,                 1.2023,                 1.2137,                 1.4701,                0.00307,                0.00307,                0.00307
                     72,                0.47392,                0.49735,                 0.9934,                0.66681,                0.59976,                0.65131,                0.43594,                 1.1959,                 1.2013,                 1.4593,               0.002971,               0.002971,               0.002971
                     73,                0.47795,                0.50083,                0.99631,                0.68658,                 0.5998,                0.66022,                0.43926,                 1.1908,                 1.1876,                 1.4526,               0.002872,               0.002872,               0.002872
                     74,                0.47222,                0.49103,                0.99555,                0.68382,                0.59789,                0.65392,                0.43922,                 1.1905,                 1.1961,                 1.4561,               0.002773,               0.002773,               0.002773
                     75,                0.46637,                0.48658,                0.98521,                0.70283,                0.58087,                 0.6543,                0.43709,                 1.1909,                 1.1976,                 1.4592,               0.002674,               0.002674,               0.002674
                     76,                0.46342,                0.48118,                0.99018,                0.70228,                0.58174,                0.65329,                0.43728,                 1.1799,                 1.1872,                 1.4465,               0.002575,               0.002575,               0.002575
                     77,                 0.4658,                0.48243,                0.98959,                0.69607,                0.57912,                 0.6555,                0.43711,                 1.1919,                  1.184,                 1.4545,               0.002476,               0.002476,               0.002476
                     78,                0.45649,                0.47329,                0.98264,                0.69018,                0.60279,                 0.6599,                0.44085,                 1.1865,                 1.1736,                 1.4516,               0.002377,               0.002377,               0.002377
                     79,                0.45342,                0.46902,                0.98084,                0.67809,                 0.6004,                 0.6571,                 0.4402,                 1.1878,                 1.1753,                 1.4523,               0.002278,               0.002278,               0.002278
                     80,                0.45331,                0.46897,                0.98462,                0.68034,                0.59443,                0.65622,                0.43922,                 1.1886,                 1.1697,                 1.4501,               0.002179,               0.002179,               0.002179
                     81,                0.45659,                 0.4736,                0.98429,                0.67566,                0.60685,                0.65896,                0.44202,                 1.1792,                 1.1697,                 1.4418,                0.00208,                0.00208,                0.00208
                     82,                 0.4462,                0.46311,                0.98058,                0.69499,                0.59162,                0.65963,                0.44371,                 1.1783,                 1.1705,                 1.4397,               0.001981,               0.001981,               0.001981
                     83,                0.44132,                0.45681,                0.97828,                0.72116,                0.58182,                0.66299,                0.44671,                 1.1819,                 1.1711,                 1.4435,               0.001882,               0.001882,               0.001882
                     84,                0.44507,                0.45675,                  0.981,                0.69353,                 0.6068,                0.66517,                0.44626,                 1.1789,                 1.1661,                 1.4401,               0.001783,               0.001783,               0.001783
                     85,                0.43422,                0.45012,                0.97446,                0.68651,                0.60982,                0.66547,                0.44604,                 1.1785,                 1.1627,                  1.443,               0.001684,               0.001684,               0.001684
                     86,                0.44114,                0.45725,                0.97926,                0.69507,                0.59759,                0.66388,                0.44677,                 1.1802,                  1.156,                 1.4455,               0.001585,               0.001585,               0.001585
                     87,                0.43012,                0.44641,                0.97215,                0.72301,                0.58223,                0.66558,                0.44758,                 1.1747,                 1.1571,                 1.4393,               0.001486,               0.001486,               0.001486
                     88,                0.43028,                0.44512,                0.97398,                0.72556,                0.58779,                0.66748,                0.44888,                 1.1722,                 1.1508,                  1.436,               0.001387,               0.001387,               0.001387
                     89,                0.42498,                  0.437,                 0.9712,                0.71982,                0.58739,                0.66482,                 0.4495,                 1.1724,                 1.1521,                 1.4357,               0.001288,               0.001288,               0.001288
                     90,                0.42355,                0.43725,                0.97116,                0.71903,                0.59264,                0.66809,                0.45089,                  1.171,                 1.1472,                 1.4364,               0.001189,               0.001189,               0.001189
                     91,                 1.0204,                 1.0061,                 1.3537,                0.68914,                0.61075,                0.66763,                0.45413,                 1.1592,                 1.1318,                 1.4224,                0.00109,                0.00109,                0.00109
                     92,                0.97484,                 0.9466,                 1.3155,                0.70109,                0.60929,                0.67563,                0.46184,                 1.1477,                 1.1156,                 1.4071,               0.000991,               0.000991,               0.000991
                     93,                0.95998,                 0.9292,                 1.3075,                0.70284,                0.61629,                0.68319,                 0.4684,                 1.1394,                 1.1013,                 1.3988,               0.000892,               0.000892,               0.000892
                     94,                0.95225,                0.89939,                 1.2975,                0.70832,                0.61611,                 0.6874,                0.47247,                 1.1319,                 1.0916,                  1.391,               0.000793,               0.000793,               0.000793
                     95,                0.93694,                 0.8733,                 1.2786,                0.71139,                0.61711,                0.69132,                0.47611,                 1.1303,                 1.0819,                 1.3871,               0.000694,               0.000694,               0.000694
                     96,                0.92996,                 0.8639,                 1.2773,                0.71004,                0.62189,                0.69463,                0.47816,                 1.1298,                 1.0763,                  1.385,               0.000595,               0.000595,               0.000595
                     97,                0.91504,                 0.8558,                 1.2672,                0.70834,                0.62592,                0.69592,                0.48015,                 1.1256,                 1.0723,                 1.3813,               0.000496,               0.000496,               0.000496
                     98,                 0.9065,                0.84194,                 1.2639,                0.69673,                0.63981,                0.69802,                0.48368,                 1.1229,                 1.0701,                 1.3795,               0.000397,               0.000397,               0.000397
                     99,                0.90755,                0.83353,                 1.2574,                0.68976,                0.64887,                0.69897,                 0.4839,                 1.1214,                 1.0703,                 1.3777,               0.000298,               0.000298,               0.000298
                    100,                0.90113,                0.82667,                 1.2582,                0.68772,                0.65788,                0.70111,                0.48461,                 1.1197,                 1.0703,                 1.3772,               0.000199,               0.000199,               0.000199
